path,source,split,label,plant,disease,augmented,assigned_split
Data\Bean_Dataset\angular_leaf_spot\angular_leaf_spot_180.jpg,Bean_Dataset,,Bean - Angular Leaf Spot,Bean,Angular Leaf Spot,False,valid
Data\Bean_Dataset\angular_leaf_spot\angular_leaf_spot_79.jpg,Bean_Dataset,,Bean - Angular Leaf Spot,Bean,Angular Leaf Spot,False,valid
Data\Bean_Dataset\angular_leaf_spot\angular_leaf_spot_89.jpg,Bean_Dataset,,Bean - Angular Leaf Spot,Bean,Angular Leaf Spot,False,valid
Data\Bean_Dataset\bean_rust\bean_rust_180.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,valid
Data\Bean_Dataset\bean_rust\bean_rust_79.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,valid
Data\Bean_Dataset\bean_rust\bean_rust_89.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,valid
Data\Bean_Dataset\healthy\healthy_180.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,valid
Data\Bean_Dataset\healthy\healthy_79.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,valid
Data\Bean_Dataset\healthy\healthy_89.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,valid
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_131008.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,valid
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_131845.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,valid
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_125104.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,valid
Data\Black Gram Leaf\Healthy\IMG20241104112538.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,valid
Data\Black Gram Leaf\Healthy\20241104_110916.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,valid
Data\Black Gram Leaf\Healthy\IMG20241104111023.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,valid
Data\Black Gram Leaf\Insect\IMG_20241031_162216.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,valid
Data\Black Gram Leaf\Insect\IMG_20241031_163356.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,valid
Data\Black Gram Leaf\Insect\IMG_20241031_184020.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,valid
Data\Black Gram Leaf\Leaf Crinkle\20241104_154512.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,valid
Data\Black Gram Leaf\Leaf Crinkle\20241104_154611.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,valid
Data\Black Gram Leaf\Leaf Crinkle\20241104_152633 (1).jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,valid
Data\Black Gram Leaf\Yellow Mosaic\IMG_20241101_142833.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,valid
Data\Black Gram Leaf\Yellow Mosaic\20241104_161315.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,valid
Data\Black Gram Leaf\Yellow Mosaic\IMG20241104162324.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,valid
Data\corn\Blight\Corn_Blight (514).JPG,corn,,Corn - Blight,Corn,Blight,False,valid
Data\corn\Blight\Corn_Blight (242).JPG,corn,,Corn - Blight,Corn,Blight,False,valid
Data\corn\Blight\Corn_Blight (248).JPG,corn,,Corn - Blight,Corn,Blight,False,valid
Data\corn\Common_Rust\Corn_Common_Rust (671).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,valid
Data\corn\Common_Rust\Corn_Common_Rust (1098).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,valid
Data\corn\Common_Rust\Corn_Common_Rust (766).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,valid
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (559).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,valid
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (125).jpg,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,valid
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (538).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,valid
Data\corn\Healthy\Corn_Health (84).jpg,corn,,Corn - Healthy,Corn,Healthy,False,valid
Data\corn\Healthy\Corn_Health (766).jpg,corn,,Corn - Healthy,Corn,Healthy,False,valid
Data\corn\Healthy\Corn_Health (480).jpg,corn,,Corn - Healthy,Corn,Healthy,False,valid
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (65).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,valid
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (253).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,valid
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (260).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,valid
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (213).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,valid
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (41).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,valid
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (78).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,valid
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (89).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,valid
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (97).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,valid
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (133).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,valid
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0372.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,valid
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0375.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,valid
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0703.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,valid
Data\rice_leaf_diseases\Brown spot\DSC_0106.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,valid
Data\rice_leaf_diseases\Brown spot\DSC_0109.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,valid
Data\rice_leaf_diseases\Brown spot\DSC_0394.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,valid
Data\rice_leaf_diseases\Leaf smut\DSC_0312.JPG,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,valid
Data\rice_leaf_diseases\Leaf smut\DSC_0315.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,valid
Data\rice_leaf_diseases\Leaf smut\DSC_0516.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,valid
Data\watermelon\watermelon___anthracnose\IMG_4182.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,valid
Data\watermelon\watermelon___anthracnose\IMG_4134.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,valid
Data\watermelon\watermelon___anthracnose\IMG_4069.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,valid
Data\watermelon\watermelon___downy_mildew\IMG_2182.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,valid
Data\watermelon\watermelon___downy_mildew\IMG_2227.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,valid
